Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
15,PMR16,446.193750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 16 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
20,APRS-1448,144.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,APRS terrestre Europe — réception seule dans l'export public,,,,
21,ISS-VOICE,145.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS voix descendante mondiale — réception seule,,,,
22,ISS-PKT-V,145.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS packet/APRS VHF — réception seule,,,,
23,ISS-REP,437.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,"ISS répéteur VHF/UHF — fréquence descendante, réception seule",,,,
24,ISS-PKT-U,437.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS packet UHF — réception seule,,,,
25,ISS-SSTV,437.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS SSTV UHF lorsque le service est actif — réception seule,,,,
30,CALL-VHF,145.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,Appel FM 2 m - plan de bande REF/IARU Region 1 - reception seule,,,,
31,CALL-UHF,433.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,Appel FM mobile 70 cm - plan de bande REF/IARU Region 1 - reception seule,,,,
40,AIR-EMERG,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Aviation - frequence internationale d'urgence - reception seule,,,,
41,ANNCY-TWR,118.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Annecy-Meythet TWR / AFIS / A-A - SIA eAIP AIRAC 07/26 - RX seule,,,,
42,ANNMS-AA,125.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Annemasse A-A - SIA eAIP AIRAC 07/26 - reception seule,,,,
50,74-F5ZLV,145.412500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F5ZLV Viuz-la-Chiesaz - sortie VHF transpondeur analogique - RX seule - REF 2026,,,,
51,ALP43265,432.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,432.650 MHz partagee: F5ZDT Leyssard et F5ZLV Viuz-la-Chiesaz - RX seule,,,,
52,01-F1ZOH,430.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZOH Crozet (Ain) - sortie relais FM UHF - RX seule - REF 2026,,,,
53,01-F1ZPY,430.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZPY Apremont (Ain) - sortie relais FM UHF - RX seule - REF 2026,,,,
54,01-F6ZJD,145.637500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F6ZJD Nurieux (Ain) - sortie relais FM VHF - RX seule - REF 2026,,,,
55,73-F1ZHE,145.262500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZHE Montvalezan (Savoie) - sortie VHF transpondeur analogique - RX seule,,,,
56,73-F1ZHG,145.287500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F1ZHG Albertville (Savoie) - sortie VHF transpondeur analogique - RX seule,,,,
57,ALP43251,432.512500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,"432.5125 MHz partagee: F1ZHE, F1ZHG et F5ZGT - reception seule",,,,
58,73-F5ZGT,145.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,F5ZGT Saint-Martin-de-Belleville - sortie VHF transpondeur - RX seule,,,,
