Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
15,PMR16,446.193750,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,PMR446 canal 16 — RX par défaut sur UV-K5; émission seulement avec un équipement PMR446 conforme,,,,
20,CALL-VHF,145.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,Appel FM 2 m - plan de bande REF/IARU Region 1 - reception seule,,,,
21,CALL-UHF,433.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,Appel FM mobile 70 cm - plan de bande REF/IARU Region 1 - reception seule,,,,
30,APRS-1448,144.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,APRS terrestre Europe — réception seule dans l'export public,,,,
31,ISS-VOICE,145.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS voix — descente mondiale 145.800; montée Région 1 sur 145.200 non exportée — RX seule,,,,
32,ISS-PKT-V,145.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS packet/APRS VHF — 145.825 en montée et descente lorsque ce mode est actif — RX seule,,,,
33,ISS-REP,437.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS répéteur — montée 145.990 CTCSS 67 Hz; descente 437.800 — seule la descente est exportée,,,,
34,ISS-PKT-U,437.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS packet/APRS UHF — 437.825 en montée et descente lorsque ce mode est actif — RX seule,,,,
35,ISS-SSTV,437.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,,ISS SSTV — descente UHF 437.550 lors des campagnes annoncées — RX seule,,,,
40,AIR-EMERG,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,France / aviation · EMERGENCY · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
41,CDG-APP1,118.155000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris CDG · APP · LFPG · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
42,CDG-APP2,119.855000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris CDG · APP · LFPG · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
43,CDG-APP3,121.155000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris CDG · APP · LFPG · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
44,CDG-APP4,124.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris CDG · APP · LFPG · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
45,ORY-APP1,118.855000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · APP · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
46,ORY-APP2,124.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · APP · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
47,ORY-APP3,127.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · APP · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
48,ORY-GND1,121.555000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · GND · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
49,ORY-GND2,121.705000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · GND · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
50,ORY-TWR,118.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · TWR · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
51,ORY-ATIS,126.505000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · ATIS · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
52,ORY-INFO,131.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Paris Orly · INFO · LFPO · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
53,LBG-FIS,123.835000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Le Bourget · FIS · LFPB · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
54,LBG-GND1,121.955000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Le Bourget · GND · LFPB · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
55,LBG-GND2,121.905000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Le Bourget · GND · LFPB · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
56,LBG-TWR,118.930000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Le Bourget · TWR · LFPB · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
57,LBG-ATIS,120.005000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,,Le Bourget · ATIS · LFPB · SIA AIRAC 08/26 / eAIP courant · RX seule,,,,
70,F5ZNG-O,145.625000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZNG · Provins · sortie RX · Île-de-France v0.3 pass3 · sources recoupées 2026-08-21,,,,
71,F5ZNG-I,145.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZNG · Provins · entrée RX · Île-de-France v0.3 pass3 · sources recoupées 2026-08-21,,,,
72,F5ZNN-O,145.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZNN · Saint-Rémy-la-Vanne · sortie RX · Île-de-France v0.3 pass3 · sources recoupées 2026-08-21,,,,
73,F5ZNN-I,145.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZNN · Saint-Rémy-la-Vanne · entrée RX · Île-de-France v0.3 pass3 · sources recoupées 2026-08-21,,,,
74,F6ZEE-O,145.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F6ZEE · Pontault-Combault · sortie RX · attribution courante validée 2026-08-21,,,,
75,F6ZEE-I,145.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F6ZEE · Pontault-Combault · entrée RX · attribution courante validée 2026-08-21,,,,
76,F5ZMH-O,145.737500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZMH · Linas · sortie RX · Île-de-France v0.3 pass3 · sources recoupées 2026-08-21,,,,
77,F5ZMH-I,145.137500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZMH · Linas · entrée RX · Île-de-France v0.3 pass3 · sources recoupées 2026-08-21,,,,
78,F1ZHK-O,145.762500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F1ZHK · Nangis · sortie RX · REF + RepeaterBook recoupés 2026-08-21,,,,
79,F1ZHK-I,145.162500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F1ZHK · Nangis · entrée RX · REF + RepeaterBook recoupés 2026-08-21,,,,
80,F5ZMR-A,431.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZMR · Provins · paire 70 cm RX A · sources recoupées 2026-08-21,,,,
81,F5ZMR-B,439.125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZMR · Provins · paire 70 cm RX B · sources recoupées 2026-08-21,,,,
82,F5ZSY-A,145.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZSY · Issy-les-Moulineaux · crossband RX A · sources recoupées 2026-08-21,,,,
83,F5ZSY-B,430.325000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZSY · Issy-les-Moulineaux · crossband RX B · sources recoupées 2026-08-21,,,,
84,F5ZNN-X,430.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,,F5ZNN · Saint-Rémy-la-Vanne · crossband RX unique après déduplication · validé 2026-08-21,,,,
